step,indoor_temp,heating_setpoint,cooling_setpoint,reward,next_indoor_temp,energy_penalty,comfort_penalty
0,20.401112,12.0,30.0,-0.10122987987606541,19.34543800354004,0.0,0.0
1,19.345438,23.25,30.0,-0.17037427752188178,19.41416358947754,0.0,0.0
2,19.414164,23.25,30.0,-0.48383429717975346,20.223134994506836,0.0,0.0
3,20.223135,12.0,30.0,-0.48383429717975346,20.5975399017334,0.0,0.0
4,20.59754,12.0,30.0,-0.056742943733771915,19.961009979248047,0.0,0.0
5,19.96101,23.25,30.0,-0.17308161308306863,19.647239685058594,0.0,0.0
6,19.64724,23.25,30.0,-0.48383429717975346,19.369951248168945,0.0,0.0
7,19.369951,23.25,30.0,-0.48383429717975346,20.039934158325195,0.0,0.0
8,20.039934,12.0,30.0,-0.48383429717975346,20.78263282775879,0.0,0.0
9,20.782633,12.0,30.0,-0.010243128230529927,20.001293182373047,0.0,0.0
10,20.001293,12.0,30.0,-0.11377206337645351,20.083602905273438,0.0,0.0
11,20.083603,12.0,30.0,-0.17337695637329814,19.657819747924805,0.0,0.0
12,19.65782,23.25,30.0,-0.23747642108901848,19.895570755004883,0.0,0.0
13,19.89557,23.25,30.0,-0.4859291715152487,19.645851135253906,0.0,0.0
14,19.645851,23.25,30.0,-0.4861671724692439,21.416967391967773,0.0,0.0
15,21.416967,12.0,30.0,-0.48669601784193667,19.86483383178711,0.0,0.0
16,19.864834,23.25,30.0,-0.09792473805026546,19.88893699645996,0.0,0.0
17,19.888937,23.25,30.0,-0.4910271013277734,19.70119857788086,0.0,0.0
18,19.701199,23.25,30.0,-0.49349839385308353,20.54554557800293,0.0,0.0
19,20.545546,12.0,30.0,-0.49463583262799293,21.289216995239258,0.0,0.0
20,21.289217,12.0,30.0,-0.018094623659739868,20.221912384033203,0.0,0.0
21,20.221912,12.0,30.0,-0.1358060423620344,20.274160385131836,0.0,0.0
22,20.27416,12.0,30.0,-0.2169709983420994,19.58957862854004,0.0,0.0
23,19.589579,23.25,30.0,-0.3060562044776481,19.52496910095215,0.0,0.0
24,19.52497,23.25,30.0,-0.5364463306339354,19.691560745239258,0.0,0.0
25,19.69156,23.25,30.0,-0.5338998266869431,20.104145050048828,0.0,0.0
26,20.104145,12.0,30.0,-0.5313978668299961,20.87428855895996,0.0,0.0
27,20.874289,12.0,30.0,-0.1831372401823991,20.406089782714844,0.0,0.0
28,20.40609,12.0,30.0,-0.3019106293161212,19.20148277282715,0.0,0.0
29,19.201483,23.25,30.0,-0.388715712342052,20.127117156982422,0.0,0.0
30,20.127117,12.0,30.0,-0.611377901394861,19.852584838867188,0.0,0.0
31,19.852585,23.25,30.0,-0.04805819230393442,21.143234252929688,0.0,0.0
32,21.143234,12.0,30.0,-0.45620120996836927,22.820274353027344,0.0,0.0
33,22.820274,12.0,30.0,-0.03300573715441891,22.350603103637695,0.0,0.0
34,22.350603,12.0,30.0,-0.02749472653576611,22.770904541015625,0.0,0.0
35,22.770905,12.0,30.0,-0.34322177995815123,24.0156192779541,0.0,0.0
36,24.01562,12.0,23.25,-0.6573459900952965,24.77960968017578,0.0,0.0
37,24.77961,12.0,23.25,-0.008456761884698159,22.969919204711914,0.0,0.0
38,22.96992,12.0,30.0,-0.00842952883095743,23.331846237182617,0.0,0.0
39,23.331846,12.0,30.0,-0.7210244894252913,24.30206298828125,0.0,0.0
40,24.302063,12.0,23.25,-1.112274018784472,26.180667877197266,0.0,0.0
41,26.180668,12.0,23.25,-0.024828810955795536,23.13626480102539,0.0,0.0
42,23.136265,12.0,30.0,-0.01937901728220838,23.547746658325195,0.0,0.0
43,23.547747,12.0,30.0,-0.8536398606602713,25.20667839050293,0.0,0.0
44,25.206678,12.0,23.25,-1.2859315539877691,26.305360794067383,0.0,0.0
45,26.30536,12.0,23.25,-0.0381528366276409,23.171476364135742,0.0,0.0
46,23.171476,12.0,30.0,-0.04518870253208933,23.46902847290039,0.0,0.0
47,23.469028,12.0,30.0,-0.7866714440587401,24.545860290527344,0.0,0.0
48,24.54586,12.0,23.25,-1.1931016527293732,26.20540428161621,0.0,0.0
49,26.205404,12.0,23.25,-0.07782267801592475,23.302207946777344,0.0,0.0
50,23.302208,12.0,30.0,-0.0668132550689635,23.436717987060547,0.0,0.0
51,23.436718,12.0,30.0,-1.0156482602047667,25.35445213317871,0.0,0.0
52,25.354452,12.0,23.25,-1.5294790636478215,25.974164962768555,0.0,0.0
53,25.974165,12.0,23.25,-0.10337834382622944,22.644739151000977,0.0,0.0
54,22.64474,12.0,30.0,-0.08620049037111244,24.053247451782227,0.0,0.0
55,24.053247,12.0,23.25,-1.1888839704828804,26.63399314880371,0.0,0.0
56,26.633993,12.0,23.25,-0.10495339479045133,23.78837013244629,0.0,0.0
57,23.78837,12.0,30.0,-0.09372777899216982,23.066890716552734,0.0,0.0
58,23.06689,12.0,30.0,-1.2217735740755415,26.158811569213867,0.0,0.0
59,26.158812,12.0,23.25,-1.772075990428462,27.819351196289062,0.0,0.0
60,27.819351,12.0,23.25,-0.12045576186061378,23.272993087768555,0.0,0.0
61,23.272993,12.0,30.0,-0.10766844706683722,23.44319725036621,0.0,0.0
